iter	Passed	Remaining
887	1386	174
888	1387	173
889	1388	171
890	1389	169
891	1390	168
892	1391	166
893	1393	165
894	1394	163
895	1396	162
896	1397	160
897	1398	158
898	1399	157
899	1401	155
900	1402	154
901	1403	152
902	1405	150
903	1406	149
904	1407	147
905	1408	146
906	1410	144
907	1412	143
908	1413	141
909	1414	139
910	1415	138
911	1416	136
912	1418	135
913	1419	133
914	1420	131
915	1421	130
916	1423	128
917	1424	127
918	1426	125
919	1428	124
920	1429	122
921	1430	121
922	1431	119
923	1432	117
924	1434	116
925	1435	114
926	1436	113
927	1438	111
928	1439	109
929	1441	108
930	1442	106
931	1443	105
932	1444	103
933	1445	102
934	1447	100
935	1448	99
936	1449	97
937	1450	95
938	1452	94
939	1453	92
940	1454	91
941	1456	89
942	1458	88
943	1459	86
944	1460	85
945	1462	83
946	1463	81
947	1464	80
948	1465	78
949	1466	77
950	1468	75
951	1469	74
952	1471	72
953	1473	71
954	1474	69
955	1475	67
956	1476	66
957	1478	64
958	1479	63
959	1480	61
960	1481	60
961	1482	58
962	1484	57
963	1486	55
964	1487	53
965	1489	52
966	1490	50
967	1491	49
968	1492	47
969	1493	46
970	1495	44
971	1496	43
972	1497	41
973	1498	40
974	1500	38
975	1502	36
976	1503	35
977	1504	33
978	1506	32
979	1507	30
980	1508	29
981	1509	27
982	1510	26
983	1512	24
984	1513	23
985	1515	21
986	1517	19
987	1518	18
988	1520	16
989	1521	15
990	1522	13
991	1524	12
992	1525	10
993	1526	9
994	1528	7
995	1529	6
996	1531	4
997	1533	3
998	1534	1
999	1535	0
